<<<<<<< HEAD
Orig_COL	Previous_Name			IsMeanVar	IsStdevVar	ShorterVariableName		Units
--------	--------------------------	---------	----------	----------------------		-------
1 		tBodyAcc-mean()-X 		TRUE 		FALSE 		tBodAc_mean_X			grvity (g)
2 		tBodyAcc-mean()-Y 		TRUE 		FALSE 		tBodAc_mean_Y			grvity (g)
3 		tBodyAcc-mean()-Z 		TRUE 		FALSE 		tBodAc_mean_Z			grvity (g)
4 		tBodyAcc-std()-X 		FALSE 		TRUE 		tBodAc_std_X			grvity (g)
5 		tBodyAcc-std()-Y 		FALSE 		TRUE 		tBodAc_std_Y			grvity (g)
6 		tBodyAcc-std()-Z 		FALSE		TRUE 		tBodAc_std_Z			grvity (g)
7 		tBodyAcc-mad()-X 		FALSE 		FALSE 		tBodAc_mad_X			grvity (g)
8 		tBodyAcc-mad()-Y 		FALSE 		FALSE 		tBodAc_mad_Y			grvity (g)
9 		tBodyAcc-mad()-Z 		FALSE 		FALSE 		tBodAc_mad_Z			grvity (g)
10 		tBodyAcc-max()-X 		FALSE 		FALSE 		tBodAc_max_X			grvity (g)
11 		tBodyAcc-max()-Y 		FALSE 		FALSE 		tBodAc_max_Y			grvity (g)
12 		tBodyAcc-max()-Z 		FALSE 		FALSE 		tBodAc_max_Z			grvity (g)
13 		tBodyAcc-min()-X 		FALSE 		FALSE 		tBodAc_min_X			grvity (g)
14 		tBodyAcc-min()-Y 		FALSE 		FALSE 		tBodAc_min_Y			grvity (g)
15 		tBodyAcc-min()-Z 		FALSE 		FALSE 		tBodAc_min_Z			grvity (g)
16 		tBodyAcc-sma() 			FALSE 		FALSE 		tBodAc_sma			grvity (g)
17 		tBodyAcc-energy()-X 		FALSE 		FALSE 		tBodAc_ergy_X			grvity (g)
18 		tBodyAcc-energy()-Y 		FALSE 		FALSE 		tBodAc_ergy_Y			grvity (g)
19 		tBodyAcc-energy()-Z 		FALSE 		FALSE 		tBodAc_ergy_Z			grvity (g)
20 		tBodyAcc-iqr()-X 		FALSE 		FALSE 		tBodAc_iqr_X			grvity (g)
21 		tBodyAcc-iqr()-Y 		FALSE 		FALSE 		tBodAc_iqr_Y			grvity (g)
22 		tBodyAcc-iqr()-Z 		FALSE 		FALSE 		tBodAc_iqr_Z			grvity (g)
23 		tBodyAcc-entropy()-X 		FALSE 		FALSE 		tBodAc_entrpy_X			grvity (g)
24 		tBodyAcc-entropy()-Y 		FALSE 		FALSE 		tBodAc_entrpy_Y			grvity (g)
25 		tBodyAcc-entropy()-Z 		FALSE 		FALSE 		tBodAc_entrpy_Z			grvity (g)
26 		tBodyAcc-arCoeff()-X,1 		FALSE 		FALSE 		tBodAc_arCoeff_X.1		grvity (g)
27 		tBodyAcc-arCoeff()-X,2 		FALSE 		FALSE 		tBodAc_arCoeff_X.2		grvity (g)
28 		tBodyAcc-arCoeff()-X,3 		FALSE 		FALSE 		tBodAc_arCoeff_X.3		grvity (g)
29 		tBodyAcc-arCoeff()-X,4 		FALSE 		FALSE 		tBodAc_arCoeff_X.4		grvity (g)
30 		tBodyAcc-arCoeff()-Y,1 		FALSE 		FALSE 		tBodAc_arCoeff_Y.1		grvity (g)
31 		tBodyAcc-arCoeff()-Y,2 		FALSE 		FALSE 		tBodAc_arCoeff_Y.2		grvity (g)
32 		tBodyAcc-arCoeff()-Y,3 		FALSE 		FALSE 		tBodAc_arCoeff_Y.3		grvity (g)
33 		tBodyAcc-arCoeff()-Y,4 		FALSE 		FALSE 		tBodAc_arCoeff_Y.4		grvity (g)
34 		tBodyAcc-arCoeff()-Z,1 		FALSE 		FALSE 		tBodAc_arCoeff_Z.1		grvity (g)
35 		tBodyAcc-arCoeff()-Z,2 		FALSE 		FALSE 		tBodAc_arCoeff_Z.2		grvity (g)
36 		tBodyAcc-arCoeff()-Z,3 		FALSE 		FALSE 		tBodAc_arCoeff_Z.3		grvity (g)
37 		tBodyAcc-arCoeff()-Z,4		FALSE 		FALSE 		tBodAc_arCoeff_Z.4		grvity (g)
38 		tBodyAcc-correlation()-X,Y 	FALSE 		FALSE 		tBodAc_corr_X.Y			grvity (g)
39 		tBodyAcc-correlation()-X,Z 	FALSE 		FALSE 		tBodAc_corr_X.Z			grvity (g)
40 		tBodyAcc-correlation()-Y,Z 	FALSE 		FALSE 		tBodAc_corr_Y.Z			grvity (g)
41 		tGravityAcc-mean()-X 		TRUE 		FALSE 		tGrvAc_mean_X			grvity (g)
42 		tGravityAcc-mean()-Y 		TRUE 		FALSE 		tGrvAc_mean_Y			grvity (g)
43 		tGravityAcc-mean()-Z 		TRUE 		FALSE 		tGrvAc_mean_Z			grvity (g)
44 		tGravityAcc-std()-X 		FALSE 		TRUE 		tGrvAc_std_X			grvity (g)
45 		tGravityAcc-std()-Y 		FALSE 		TRUE 		tGrvAc_std_Y			grvity (g)
46 		tGravityAcc-std()-Z 		FALSE 		TRUE 		tGrvAc_std_Z			grvity (g)
47 		tGravityAcc-mad()-X 		FALSE 		FALSE 		tGrvAc_mad_X			grvity (g)
48 		tGravityAcc-mad()-Y 		FALSE 		FALSE 		tGrvAc_mad_Y			grvity (g)
49 		tGravityAcc-mad()-Z 		FALSE 		FALSE 		tGrvAc_mad_Z			grvity (g)
50 		tGravityAcc-max()-X 		FALSE 		FALSE 		tGrvAc_max_X			grvity (g)

Orig_COL	Previous_Name			IsMeanVar	IsStdevVar	ShorterVariableName		Units
--------	--------------------------	---------	----------	----------------------		-------
